CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2021-08-13 05:18:04.0844321,C:\Windows\appcompat\Programs\Install\INSTALL_0003_b52851cb-611d-4fcf-a4af-5ecaee92f1f7.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0003_b52851cb-611d-4fcf-a4af-5ecaee92f1f7.txt,3664,F66D1CA17EA53C7DFD3DC181F7A768F2DAD1561C,False,2021-07-22 07:59:42.2012854,2021-07-22 07:59:42.2012854,2021-08-13 04:10:46.6876792,00:00:00.0070529
2021-08-13 05:18:04.0873660,C:\Windows\appcompat\Programs\Install\INSTALL_0003_bb43efbc-d7b4-4673-afb6-e0856e91385e.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0003_bb43efbc-d7b4-4673-afb6-e0856e91385e.txt,3692,3153C91CEF4F30918233693E8E6606F6D8A9FA7D,False,2021-07-22 10:49:07.1484227,2021-07-22 10:49:07.1494242,2021-08-13 04:10:46.6971583,00:00:00.0019321
2021-08-13 05:18:04.0953667,C:\Windows\appcompat\Programs\Install\INSTALL_0003_c09b0600-570f-4636-bdcd-b6048b446bf9.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0003_c09b0600-570f-4636-bdcd-b6048b446bf9.txt,2392,B150FEB7AD56AA4AD069D5ED026730F10F6C502F,False,2021-07-18 20:49:21.3264416,2021-07-18 20:49:21.3271477,2021-08-13 04:10:46.7052030,00:00:00.0069189
2021-08-13 05:18:04.1053337,C:\Windows\appcompat\Programs\Install\INSTALL_0006_0e521acb-bd3d-4d2e-b95e-c48d9cff9fce.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0006_0e521acb-bd3d-4d2e-b95e-c48d9cff9fce.txt,12984,385FC1526B35103645CAB36F37E15FE20C250709,False,2021-07-20 10:20:39.9656781,2021-07-20 10:20:39.9656781,2021-08-13 04:10:46.7125012,00:00:00.0068979
2021-08-13 05:18:04.1093976,C:\Windows\appcompat\Programs\Install\INSTALL_0007_8c8dc8e6-6040-4971-91fc-559bd9c17534.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0007_8c8dc8e6-6040-4971-91fc-559bd9c17534.txt,4554,5B9CFACBFC4295062B27574889AA5276D361ACD0,False,2021-07-22 07:51:44.7085355,2021-07-22 07:51:44.7090781,2021-08-13 04:10:46.7244652,00:00:00.0020704
2021-08-13 05:18:04.1123216,C:\Windows\appcompat\Programs\Install\INSTALL_0009_f895e88a-e3e6-4628-993e-ef04942021ec.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0009_f895e88a-e3e6-4628-993e-ef04942021ec.txt,3916,65A034CBABCDE0E0D397EC1FB4F89B9CCEBE9D97,False,2021-08-07 21:47:11.3544356,2021-08-07 21:47:11.3544356,2021-08-13 04:10:46.7324272,00:00:00.0020027
2021-08-13 05:18:04.1153002,C:\Windows\appcompat\Programs\Install\INSTALL_0014_8c8dc8e6-6040-4971-91fc-559bd9c17534.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0014_8c8dc8e6-6040-4971-91fc-559bd9c17534.txt,3726,17132DF89A9B8B08F172930D77BD8E26D58F3C7B,False,2021-07-22 07:51:58.9124133,2021-07-22 07:51:58.9130036,2021-08-13 04:10:46.7403988,00:00:00.0019934
2021-08-13 05:18:04.1182919,C:\Windows\appcompat\Programs\Install\INSTALL_0018_e89f3aaa-a6ee-454c-b82f-bc0a691c2794.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_0018_e89f3aaa-a6ee-454c-b82f-bc0a691c2794.txt,1890,2D7A407FC9018D72A31145C89A40B23619F3EC6E,False,2021-07-18 10:46:30.0401647,2021-07-18 10:46:30.0401647,2021-08-13 04:10:46.7473773,00:00:00.0009852
2021-08-13 05:18:04.1201376,C:\Windows\appcompat\Programs\Install\INSTALL_001d_f895e88a-e3e6-4628-993e-ef04942021ec.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_001d_f895e88a-e3e6-4628-993e-ef04942021ec.txt,3316,8F984F348A4C4FF082199150D60BBD4B3047479E,False,2021-08-07 21:52:47.7014531,2021-08-07 21:52:47.7024529,2021-08-13 04:10:46.7504092,00:00:00.0018457
2021-08-13 05:18:04.1233847,C:\Windows\appcompat\Programs\Install\INSTALL_002c_7596e4f0-fc13-4d8f-9414-7ac30d0da3ad.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_002c_7596e4f0-fc13-4d8f-9414-7ac30d0da3ad.txt,4616,022D6F708C6CD7510A78F0B25E4FA17D4456E4A7,False,2021-07-26 04:59:59.5755663,2021-07-26 04:59:59.5765645,2021-08-13 04:10:46.7581737,00:00:00.0027504
2021-08-13 05:18:04.1334326,C:\Windows\appcompat\Programs\Install\INSTALL_ffff_0e521acb-bd3d-4d2e-b95e-c48d9cff9fce.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_ffff_0e521acb-bd3d-4d2e-b95e-c48d9cff9fce.txt,13378,69A75E33F0676830BB51D2FD979F56EDCDAD6E11,False,2021-07-20 20:04:49.6339760,2021-07-20 20:04:49.6339760,2021-08-13 04:10:46.7661380,00:00:00.0079759
2021-08-13 05:18:04.1460492,C:\Windows\appcompat\Programs\Install\INSTALL_ffff_3fa66573-460e-451d-b820-2868205ebbf9.txt,C:\Users\82107\Desktop\KapeOutput\C\Windows\appcompat\Programs\Install\INSTALL_ffff_3fa66573-460e-451d-b820-2868205ebbf9.txt,22340,818E97092F851FBE0C9B7975101B9AC8F409BDD5,False,2021-07-18 11:06:24.9759492,2021-07-18 11:06:24.9759492,2021-08-13 04:10:46.7858561,00:00:00.0101287
